1001,1001,1004
1002,1002,1005
1003,1003,1006
1004,1004,1007
1005,1005,1008
1006,1006,1009
1007,1007,1010
1008,1008,1011
1009,1009,1012
1010,1010,1013
1011,1011,1014
1012,1012,1015
2001,2001,2007
2002,2002,2008
2003,2003,2009
2004,2004,2010
2005,2005,2011
2006,2006,2012
2007,2007,2013
2008,2008,2014
2009,2009,2015
2010,2010,2016
2011,2011,2017
2012,2012,2018
2013,2013,2019
2014,2014,2020
2015,2015,2021
2016,2016,2022
2017,2017,2023
2018,2018,2024
2019,2019,2025
2020,2020,2026
2021,2021,2027
2022,2022,2028
2023,2023,2029
2024,2024,2030
1001,2001,3001
1002,2001,3002
1003,2001,3003
1001,2002,3004
1002,2002,3005
1003,2002,3006
1001,2003,3007
1002,2003,3008
1003,2003,3009
1001,2004,3010
1002,2004,3011
1003,2004,3012
1001,2005,3013
1002,2005,3014
1003,2005,3015
1001,2006,3016
1002,2006,3017
1003,2006,3018
1004,2007,3019
1005,2007,3020
1006,2007,3021
1004,2008,3022
1005,2008,3023
1006,2008,3024
1004,2009,3025
1005,2009,3026
1006,2009,3027
1004,2010,3028
1005,2010,3029
1006,2010,3030
1004,2011,3031
1005,2011,3032
1006,2011,3033
1004,2012,3034
1005,2012,3035
1006,2012,3036
1007,2013,3037
1008,2013,3038
1009,2013,3039
1007,2014,3040
1008,2014,3041
1009,2014,3042
1007,2015,3043
1008,2015,3044
1009,2015,3045
1007,2016,3046
1008,2016,3047
1009,2016,3048
1007,2017,3049
1008,2017,3050
1009,2017,3051
1007,2018,3052
1008,2018,3053
1009,2018,3054
1010,2019,3055
1011,2019,3056
1012,2019,3057
1010,2020,3058
1011,2020,3059
1012,2020,3060
1010,2021,3061
1011,2021,3062
1012,2021,3063
1010,2022,3064
1011,2022,3065
1012,2022,3066
1010,2023,3067
1011,2023,3068
1012,2023,3069
1010,2024,3070
1011,2024,3071
1012,2024,3072
1013,2025,3073
1014,2025,3074
1015,2025,3075
1013,2026,3076
1014,2026,3077
1015,2026,3078
1013,2027,3079
1014,2027,3080
1015,2027,3081
1013,2028,3082
1014,2028,3083
1015,2028,3084
1013,2029,3085
1014,2029,3086
1015,2029,3087
1013,2030,3088
1014,2030,3089
1015,2030,3090
